id,title,question,context,answers
1,Intro Abundant Life Planning Framework,Who developed the Abundant Life Planning Framework?,"The Abundant Life Planning Framework, developed by business professor and serial entrepreneur Bob Nuebert from the University at Buffalo in New York, is designed to help students gain a clear vision of their life goals and the steps needed to achieve them.",bob nuebert
2,Intro Abundant Life Planning Framework,What is Bob Nuebert's profession?,"The Abundant Life Planning Framework, developed by business professor and serial entrepreneur Bob Nuebert from the University at Buffalo in New York, is designed to help students gain a clear vision of their life goals and the steps needed to achieve them.",business professor and serial entrepreneur
3,Intro Abundant Life Planning Framework,Which university is Bob Nuebert affiliated with?,"The Abundant Life Planning Framework, developed by business professor and serial entrepreneur Bob Nuebert from the University at Buffalo in New York, is designed to help students gain a clear vision of their life goals and the steps needed to achieve them.",university at buffalo
4,Intro Abundant Life Planning Framework,What city is the University at Buffalo located in?,"The Abundant Life Planning Framework, developed by business professor and serial entrepreneur Bob Nuebert from the University at Buffalo in New York, is designed to help students gain a clear vision of their life goals and the steps needed to achieve them.",new york
5,Intro Abundant Life Planning Framework,What is the main purpose of the Abundant Life Planning Framework?,"The Abundant Life Planning Framework, developed by business professor and serial entrepreneur Bob Nuebert from the University at Buffalo in New York, is designed to help students gain a clear vision of their life goals and the steps needed to achieve them.",to help students gain a clear vision of their life goals and the steps needed to achieve them
6,Intro Abundant Life Planning Framework,What technique does the framework use?,"This framework employs a technique called backcasting, where students first envision their ultimate goals. They then work backward to identify each preceding step necessary to reach that goal, iterating this process until they arrive at their current situation.",backcasting
7,Intro Abundant Life Planning Framework,What do students first imagine in the backcasting technique?,"This framework employs a technique called backcasting, where students first envision their ultimate goals. They then work backward to identify each preceding step necessary to reach that goal, iterating this process until they arrive at their current situation.",envision their ultimate goals
8,Intro Abundant Life Planning Framework,"After imagining their end goal, what do students do next in backcasting?","This framework employs a technique called backcasting, where students first envision their ultimate goals. They then work backward to identify each preceding step necessary to reach that goal, iterating this process until they arrive at their current situation.",work backward to identify each preceding step necessary to reach that goal
9,Intro Abundant Life Planning Framework,"To what point do students backcast their steps?
","This framework employs a technique called backcasting, where students first envision their ultimate goals. They then work backward to identify each preceding step necessary to reach that goal, iterating this process until they arrive at their current situation.",until they arrive at their current situation
10,Intro Abundant Life Planning Framework,What must students determine to follow the steps effectively?,"To effectively follow these steps, students must also identify the capabilities, habits, and mindsets required to achieve their goals. The end result is a comprehensive roadmap outlining specific actions a student needs to take, along with the development of essential capabilities, habits, and mindsets along the way. This roadmap provides clarity on the actions needed to progress in the right direction.","the capabilities, habits, and mindsets required to achieve their goals"
11,Intro Abundant Life Planning Framework,What is the end goal of the framework?,"To effectively follow these steps, students must also identify the capabilities, habits, and mindsets required to achieve their goals. The end result is a comprehensive roadmap outlining specific actions a student needs to take, along with the development of essential capabilities, habits, and mindsets along the way. This roadmap provides clarity on the actions needed to progress in the right direction.","comprehensive roadmap outlining specific actions a student needs to take, along with the development of essential capabilities, habits, and mindsets along the way"
12,Intro Abundant Life Planning Framework,What does the roadmap provide for the students?,"To effectively follow these steps, students must also identify the capabilities, habits, and mindsets required to achieve their goals. The end result is a comprehensive roadmap outlining specific actions a student needs to take, along with the development of essential capabilities, habits, and mindsets along the way. This roadmap provides clarity on the actions needed to progress in the right direction.",clarity on the actions needed to progress in the right direction
